Accession Planting,Inventory Date,Status,Condition,Measurement Date,Height,Height Unit,DBH,DBH Unit,Measurement Note
2020-0589-10-0,9/17/2020 0:00,Dormant,Good,,,,,,
2020-0589-10-0,9/18/2020 17:27,Dormant,Good,,,,,,
2020-0588-10-0,9/17/2020 0:00,Dormant,Good,,,,,,
2020-0588-10-0,9/18/2020 17:27,Dormant,Good,,,,,,
2020-0587-10-0,9/17/2020 0:00,Dormant,Good,,,,,,
2020-0587-10-0,9/18/2020 17:27,Dormant,Good,,,,,,
2020-0150-01-8,,,,9/3/2020 0:00,2.5,inches,,inches,
2020-0150-01-8,9/3/2020 0:00,Alive,Good,,,,,,
2020-0150-01-8,9/3/2020 22:35,Alive,Good,,,,,,
2020-0150-01-7,,,,3/27/2020 0:00,5,inches,,inches,
2020-0150-01-7,3/26/2020 0:00,Alive,Good,,,,,,
2020-0150-01-7,3/27/2020 8:05,Alive,Good,,,,,,
2020-0150-01-6,,,,2/26/2020 13:45,0.9,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2020-0150-01-6,,,,2/19/2020 0:00,10,inches,,inches,Saguaro inventory 2020
2020-0150-01-6,2/11/2020 0:00,Alive,Good,,,,,,
2020-0150-01-6,2/14/2020 12:17,Alive,Good,,,,,,
2020-0150-01-5,,,,2/26/2020 13:45,0.2,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2020-0150-01-5,2/11/2020 0:00,Alive,Good,,,,,,
2020-0150-01-5,2/13/2020 0:00,Alive,Excellent,,,,,,
2020-0150-01-5,2/19/2020 12:31,Alive,Excellent,,,,,,
2020-0150-01-4,,,,2/26/2020 13:45,0.2,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2020-0150-01-4,,,,2/13/2020 0:00,2,inches,,inches,
2020-0150-01-4,2/11/2020 0:00,Alive,Good,,,,,,
2020-0150-01-4,2/13/2020 0:00,Alive,Excellent,,,,,,
2020-0150-01-4,2/19/2020 13:01,Alive,Excellent,,,,,,
2020-0150-01-3,,,,2/26/2020 13:45,0.1,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2020-0150-01-3,,,,2/13/2020 0:00,2.5,inches,,inches,
2020-0150-01-3,2/11/2020 0:00,Alive,Good,,,,,,
2020-0150-01-3,2/13/2020 0:00,Alive,Excellent,,,,,,
2020-0150-01-3,2/19/2020 13:01,Alive,Excellent,,,,,,
2020-0150-01-2,,,,2/26/2020 13:45,0.5,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2020-0150-01-2,,,,2/13/2020 0:00,6,inches,,inches,
2020-0150-01-2,2/11/2020 0:00,Alive,Good,,,,,,
2020-0150-01-2,2/13/2020 0:00,Alive,Excellent,,,,,,
2020-0150-01-2,2/19/2020 12:46,Alive,Excellent,,,,,,
2020-0150-01-1,,,,2/26/2020 13:45,2.6,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2020-0150-01-1,,,,2/12/2020 0:00,31,inches,,inches,
2020-0150-01-1,2/11/2020 0:00,Alive,Good,,,,,,
2020-0150-01-1,2/12/2020 0:00,Alive,Fair,,,,,,
2020-0150-01-1,2/19/2020 12:46,Alive,Fair,,,,,,
2019-0347-01-3,6/4/2019 0:00,Alive,Good,,,,,,
2019-0347-01-2,6/4/2019 0:00,Alive,Good,,,,,,
2019-0347-01-1,6/4/2019 0:00,Alive,Good,,,,,,
2019-0310-01-1,,,,2/26/2020 13:45,3.7,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0310-01-1,5/15/2019 0:00,Alive,Good,,,,,,
2019-0310-01-1,6/6/2019 22:30,Alive,Good,,,,,,
2019-0298-01-3,,,,2/26/2020 13:44,9,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0298-01-3,5/15/2019 0:00,Alive,Good,,,,,,
2019-0298-01-3,5/28/2019 23:16,Alive,Good,,,,,,
2019-0298-01-2,,,,2/26/2020 13:44,14.8,feet,,feet,"Measured height during Saguaro Inventory 2020, VN, 2/26/20."
2019-0298-01-2,5/15/2019 0:00,Alive,Good,,,,,,
